City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,bull savanna,17.8868,-77.5902,298.65,75,27,4.09,JM,1681944296
315,nema,57.5067,50.5011,276.53,93,8,1.59,RU,1681943900
316,lompoc,34.6391,-120.4579,296.31,62,20,11.18,US,1681943778
317,warrnambool,-38.3833,142.4833,285.0,80,83,4.93,AU,1681944296
318,vilyuysk,63.7553,121.6247,266.18,96,93,1.5,RU,1681943595
319,jayapura,-2.5333,140.7,297.81,91,100,0.94,ID,1681944297
320,mityana,0.4175,32.0228,290.16,99,78,0.96,UG,1681944298
321,keflavik,64.0049,-22.5624,281.39,93,100,10.29,IS,1681943932
322,pago pago,-14.2781,-170.7025,301.0,79,68,8.81,AS,1681944100
323,jining,35.405,116.5814,290.27,87,0,3.29,CN,1681944298
324,kroya,-7.6331,109.2461,298.45,89,74,1.34,ID,1681944299
325,north battleford,52.7834,-108.2847,273.2,80,100,7.72,CA,1681944299
326,stjordalshalsen,63.4681,10.9262,279.77,75,0,4.12,NO,1681944299
327,luwuk,-0.9516,122.7875,299.75,86,88,0.25,ID,1681944300
328,medina,24.4686,39.6142,295.39,56,40,1.54,SA,1681944104
329,itoman,26.1247,127.6694,298.58,94,75,8.75,JP,1681943903
330,aranyaprathet,13.6928,102.5013,299.34,86,14,2.26,TH,1681944300
331,manay,7.215,126.5397,300.85,76,61,0.8,PH,1681944301
332,kenai,60.5544,-151.2583,280.2,56,0,3.6,US,1681943847
333,bang saphan,11.2126,99.5117,298.27,89,16,2.49,TH,1681944302
334,aswan,24.0934,32.907,302.76,12,0,0.0,EG,1681944303
335,port hedland,-20.3167,118.5667,295.18,43,92,7.72,AU,1681944303
336,mancio lima,-7.6142,-72.8958,299.19,100,100,3.6,BR,1681944304
337,tomatlan,19.9333,-105.25,303.51,42,6,5.73,MX,1681943882
338,nikolayevsk-on-amure,53.1406,140.73,275.57,66,89,1.6,RU,1681943716
339,silver city,32.7701,-108.2803,293.92,17,1,9.39,US,1681944304
340,fortaleza,-3.7227,-38.5247,301.6,83,20,2.06,BR,1681944165
341,caleta de carquin,-11.0925,-77.6267,296.85,79,25,7.04,PE,1681944305
342,santa barbara,34.7333,-120.0343,292.59,25,0,8.75,US,1681944220
343,bikenibeu village,1.3673,173.1241,304.13,70,40,3.6,KI,1681943914
344,manga,11.6636,-1.0731,304.59,42,83,2.97,BF,1681944306
345,reggane,26.7158,0.1714,300.7,12,0,4.25,DZ,1681944306
346,egersund,58.4513,5.9997,284.31,80,0,2.18,NO,1681944306
347,andergrove,-21.0833,149.1833,299.06,67,34,6.35,AU,1681943771
348,kill devil hills,36.0307,-75.676,291.16,76,0,3.6,US,1681943922
349,pisogne,45.8101,10.1073,286.16,66,97,1.34,IT,1681944307
350,dakhla,23.6848,-15.958,292.0,88,1,4.77,EH,1681944307
351,blackwater,-23.5833,148.8833,296.99,58,2,5.3,AU,1681944308
